Page ID	Document URL	Reference number	Reference
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[1]	"Ratliff, ""The monastery of Saint Catherine at Mount Sinai and the Christian communities of the Caliphate."""
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[7]	Morrow, John Andrew (2021). The Islamic Interfaith Initiative: no fear shall be upon them . Newcastle-upon-Tyne. p. 335. ISBN 978-1-5275-7482-3 . OCLC 1277138744 . {{ cite book }} :  CS1 maint: location missing publisher ( link )
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[8]	"""Dr. John Andrew Morrow"" . Muhammad (pbuh) - Prophet of Islam . 2015-01-27 . Retrieved 2022-10-09 ."
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[9]	"Morrow, John Andrew (2019-10-16). ""The Covenants of the Prophet Muhammad Continue to Cause Controversy"" . Maydan . Retrieved 2023-09-04 ."
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[10]	Andrew Morror, John, ed. (2017). Islām and the People of the Book Volumes 1-3: Critical Studies on the Covenants of The Prophet . Cambridge: Cambridge Scholars Publishing. ISBN 978-1-5275-9876-8 .
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[11]	Andrew Morrow, John (2013). The Covenants of the Prophet Muhammad with the Christians of the World . New York: Angelico Press. ISBN 978-1597314657 .
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[12]	"Ratliff, ""The monastery of Saint Catherine at Mount Sinai and the Christian communities of the Caliphate"", note 9. Ratliff refers to Mouton, ""Les musulmans à Sainte-Catherine au Moyen Âge"", p. 177."
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[13]	"Moritz, Bernhard. (1918). ""Beiträge zur Geschichte des Sinaiklosters im Mittelalter nach arabischen Quellen"", p. 11."
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[14]	"Sanni. (2015), ""The Covenants of the Prophet Muḥammad with the Christians of the World"", Journal of Muslim Minority Affairs, DOI: 10.1080/13602004.2015.1112122, p. 2."
doc01	https://en.wikipedia.org/w/index.php?title=Ashtiname_of_Muhammad&oldid=1204869561	[15]	"Mubasher, ""John Andrew Morrow. The Covenants of the Prophet Muhammad with the Christians of the World"", Islamic Studies, Vol. 57 No. 3-4 (2018), p. 313"
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[14],[20],[24],[28]	Schulze, Hans K (2007). The Marriage of Empress Theophanu: The Greek and Roman Empress of the German Empire 972–991 (in German). Hahn. ISBN 978-3-7752-6124-1 . OCLC 229846358 .
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[15]	"""The Marriage of Empress Theophanu"", Register of the Memory of the World , UNESCO, 2005, p. 36"
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[16]	"Brandt, Michael; Eggebrecht, Arne (1993). ""The marriage of Empress Theophanu (Hartmut Hoffmann)"". Bernward von Hildesheim und das Zeitalter der Ottonen [ Bernward of Hildesheim and the era of the Ottonians: Catalogue of the exhibition ] (in German). Philipp von Zabern. ISBN 978-3-87065-736-9 . OCLC 29299096 ."
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[17]	Köcher, Dieter (2006). Influence of raw material and production of natural madder paints on color and light fastness (in German). Dresden. OCLC 553482553 .
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[18],[23],[25]	Goetting, Hans; Kühn, Hermann (1968). Marriage of Empress Theophanu (DOII 21), study and conservation (in German). Böhlau. OCLC 174185164 .
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[19],[27],[29]	Deeters, Walter; Matthes, Dieter (1972). The Marriage of Empress Theophanu, 14 April 942, Exhibition of the Lower Saxony State Archives in Wolfenbüttel (in German). Vandenhoeck & Ruprecht. OCLC 64797234 .
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[21]	"Zajic, Andreas; Roland, Martin (2005). ""Eine spätmittelalterliche Urkundenfälschung aus dem Augustiner-Chorherrenstift Dürnstein in Niederösterreich"" [The late medieval forgery of the Augustinian Canons of Dürnstein in Lower Austria: at the same time contributing to the illuminated documents of the Middle Ages] (PDF) . Archiv für Diplomatik (in German) (51). Schriftgeschichte: 331–432. ISSN 0066-6297 . OCLC 883159309 ."
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[22]	von Euw, Anton; Schreiner, Peter; Sporbeck, Gudrun (1991). Empress Theophanu: meeting of East and West at the turn of the first millennium (in German). Vol. 2. Köln Museum. ISBN 978-0-521-52467-4 . OCLC 25007555 .
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[26]	Lacroix, Paul (1849). Le moyen age et la renaissance, histoire et description des moeurs et usages, du commerce et de l'industrie, des sciences, des arts, des littératures et des beaux-arts en Europe [ The Middle Ages and the Renaissance: History and Description of Manners and Customs, Trade and Industry, Science, the Arts, Literature, and the Fine Arts in Europe ] (in French). Vol. 2. Paris Administration. OCLC 832213191 .
doc03	https://en.wikipedia.org/wiki/Marriage_Charter_of_Empress_Theophanu	[30]	Sickel, Theodor (1883). Das Privilegium Otto I. Für die römische Kirche vom Jahre 962 [ The privilege of Otto I. for the Roman Catholic Church from the year 962 ] (in German). Wagner.
doc04	https://en.wikipedia.org/wiki/Supetar_Cartulary	[5]	Švob, Držislav (1956), Pripis Supetarskog kartulara o izboru starohrvatskog kralja i popis onodobnih banova (PDF) (in Croatian), Zagreb: Školska Knjiga, pp. 101–117, archived from the original (PDF) on 14 May 2014
doc05	https://en.wikipedia.org/wiki/Charter_of_Duke_Trpimir	[1]	Klarić, Nada: Izvori za hrvatsku povijest, p. 20
